"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","994","test2 @sanity","chromium","Fri Jun 06 13:49:17 IST 2025","passed","Fri Jun 06 13:49:18 IST 2025","","tag.spec.js","",""
"","1480","test1@sanity","Google Chrome","Tue Jun 03 09:28:30 IST 2025","passed","Tue Jun 03 09:28:32 IST 2025","","tags.spec.js","",""
"","987","test1","chromium","Tue Jun 03 10:57:18 IST 2025","passed","Tue Jun 03 10:57:19 IST 2025","","annotation.spec.js","",""
"","1","mouse right click","Google Chrome","Sat May 31 21:01:56 IST 2025","skipped","Sat May 31 21:01:56 IST 2025","","mouseover.spec.js","",""
"","7150","test","Google Chrome","Wed May 07 18:22:32 IST 2025","passed","Wed May 07 18:22:39 IST 2025","","mytest.spec.js","",""
"","476","test5@sanity@reg","chromium","Tue Jun 03 09:43:48 IST 2025","passed","Tue Jun 03 09:43:49 IST 2025","","tag.spec.js","",""
"","5880","hooks concept","chromium","Fri Jun 06 16:55:54 IST 2025","passed","Fri Jun 06 16:56:00 IST 2025","","hooks2.spec.js","",""
"","2965","add product hooks concept","chromium","Fri Jun 06 19:23:45 IST 2025","passed","Fri Jun 06 19:23:48 IST 2025","","hooks1.spec.js","",""
"","660","test2@sanity","Google Chrome","Tue Jun 03 09:28:32 IST 2025","passed","Tue Jun 03 09:28:33 IST 2025","","tags.spec.js","",""
"","952","test4 @reg","Google Chrome","Tue Jun 03 22:00:28 IST 2025","passed","Tue Jun 03 22:00:29 IST 2025","","tag.spec.js","",""
"","16868","multiple handle pages","webkit","Tue Jun 03 20:33:14 IST 2025","passed","Tue Jun 03 20:33:31 IST 2025","","pages.spec.js","",""
"","10357","test3 @reg","firefox","Fri Jun 06 14:12:40 IST 2025","passed","Fri Jun 06 14:12:50 IST 2025","","tag.spec.js","",""
"","1033","test3 @reg","webkit","Tue Jun 03 22:00:30 IST 2025","passed","Tue Jun 03 22:00:31 IST 2025","","tag.spec.js","",""
"","5677","test5 @reg","firefox","Fri Jun 06 14:13:02 IST 2025","passed","Fri Jun 06 14:13:08 IST 2025","","tag.spec.js","",""
"","4036","page screenshot","Google Chrome","Mon Jun 02 16:59:34 IST 2025","passed","Mon Jun 02 16:59:38 IST 2025","","screenshot.spec.js","",""
"","5501","test4 @reg","firefox","Fri Jun 06 14:12:57 IST 2025","passed","Fri Jun 06 14:13:02 IST 2025","","tag.spec.js","",""
